author_year,Ref#,link,country,quality,total_sample,total_sample_ig,total_sample_cg,total_sample_oi,total_sample_oi2,total_sample_fg,gender,total_sample_fg_ig,total_sample_fg_cg,total_sample_fg_oi,total_sample_fg_oi2,general_attrition,attrition_ig,attrition_cg,attrition_oi,attrition_oi2,age_mean_total,age_sd_total,age_mean_ig,age_sd_ig,age_mean_cg,age_sd_cg,age_mean_oi,age_sd_oi,age_mean_oi2,age_sd_oi2,depression_score,depression_score_b_ig,severity_b_ig,depression_score_b_cg,severity_b_cg,depression_score_b_oi,severity_b_oi,depression_score_b_oi2,severity_b_oi2,depression_score_a_ig,severity_a_ig,depression_score_a_cg,severity_a_cg,depression_score_a_oi,severity_a_oi,depression_score_a_oi2,severtiy_a_oi2,follow_up,freq_adm_ig,freq_adm_cg,freq_adm_oi,freq_oi2,depression_diag_criteria,outcome_method,intervention,control,other_intervention,other_intervention_2
"Abbasi et al, 2012",1,https://drive.google.com/open?id=0B935j1BXn-wyZkJhNU1qNEk2bFk,USA,good,40,20,20,,,13,both,7,6,,,3,1,2,,,,,35.1,8,34.2,"6,9",,,,,1,22.2,moderate,21.3,moderate,,,,,19.41,moderate,18.52,moderate,,,,,1.5,1,1,,,2,2,41,0,,
"Abbasi et al, 2015",2,https://drive.google.com/open?id=0B935j1BXn-wyV2N3LWQybG0xTkk,USA,bad,58,29,29,,,15,both,7,8,,,12,6,6,,,,,56.87,6.9,57.7,7.26,,,,,1,15.95,mild,16.08,moderate,,,,,4.95,absence,8.56,mild,,,,,1.5,,,,,2,1,37,36,,
"Abolfazli et al, 2011",3,https://drive.google.com/file/d/0B935j1BXn-wyeW1lYUxxTlh3dzg/view ,UK,good,46,23,23,,,23,both,12,11,,,2,1,1,,,,,33.13,7.53,33.27,6.08,,,,,1,23.28,moderate,22.72,moderate,,,,,9.14,mild,12.68,mild,,,,,1.5,1,1,,,2,1,78,63,,
"Akhondzadeh et al, 2009",4,https://drive.google.com/file/d/0B935j1BXn-wyX3hNUEp0d3hDbkk/view ,Poland,good,40,20,20,,,25,both,13,12,,,3,1,2,,,,,34.65,6.76,34.2,4.96,,,,,1,22,moderate,33,severe,,,,,9,mild,13.5,mild,,,,,1.5,1,1,,,1,1,68,63,,
"Akhondzadeh et al, 2012",5,https://drive.google.com/file/d/0B9ul69Yl4HIcUjBUaDNIVC1WVzg/view?usp=sharing ,USA,good,40,20,20,,,25,both,12,13,,,0,0,0,,,,,37.8,6.7,36.6,6.8,,,,,1,24.5,severe,24.2,severe,,,,,6.6,absence,9.5,mild,,,,,1.5,1,1,,,1,1,34,0,,
"Ashman et al, 2009",6,https://drive.google.com/open?id=0B935j1BXn-wyUlR5SG5yc09WSDA ,USA,good,41,22,19,,,19,both,12,7,,,11,4,7,,,49.1,10.9,46.8,12.8,51.5,8.2,,,,,1,27,severe,25,severe,,,,,14,mild,16,mild,,,,,2.5,,,,,2,2,56,0,,
"Bakish et al, 2014",7,https://drive.google.com/file/d/0B9ul69Yl4HIcWDAwdXhFalhWUmM/view,Netherlands,good,568,190,189,189,,357,both,117,116,124,,121,43,32,46,,,,42.9,13.4,42.3,13.2,43.1,12.8,,,1,30.8,severe,31,severe,31.2,severe,,,"17,7",moderate,"20,3",moderate,"18,1",moderate,,,2.5,0.1428571429,0.1428571429,,,2,2,10,0,10,
"Ball, 2014",8,https://drive.google.com/file/d/0B935j1BXn-wyamRpV0FuU3k5WmM/view,USA,bad,236,79,78,79,,162,both,53,59,50,,86,36,26,24,,,,38.5,12.3,38,10.9,40.2,10.7,,,1,"24,1",severe,24.2,severe,24.7,severe,,,13.1,mild,12.5,mild,15.2,mild,,,1.5,,,,,1,2,64,65,66,
"Binneman, ‎2008",9,https://goo.gl/kYgATT ,USA,bad,123,41,39,43,,,male,,,,,43,17,12,14,,,,50,,49,,49,,,,1,23.86,moderate,23.55,moderate,23.3,moderate,,,15.11,mild,13.37,mild,9.88,mild,,,1.5,2,1,1,,1,2,55,0,56,
"Blier, 2010",10,https://drive.google.com/open?id=0B935j1BXn-wyUVRIMGw1ekZzUk0,USA,bad,105,28,25,26,26,,male,,,,,16,5,4,3,4,,,43.8,1.8,45.8,2.4,41.9,2.2,43.8,2.6,1,22.6,moderate,22.4,moderate,22.6,moderate,21.7,moderate,13,mild,8,mild,8,mild,8,mild,1.5,2,2,,,2,2,3,69,70,71
"Boyer et al, 2008",11,https://drive.google.com/file/d/0B4TReYGK49h_RzFwSVFqcEdBbHM/view,USA,good,485,164,161,158,,336,both,115,109,112,,50,17,13,20,,,,44,14,46,12,46,13,,,1,24,severe,24,severe,24,severe,,,10.8,mild,13.3,mild,10.3,mild,,,2,,,,,2,2,6,0,6,
"Carney, 2009",12,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3477788/,USA,good,122,62,60,,,41,both,22,19,,,7,3,4,,,,,58.1,9.4,58.6,8.5,,,,,1,21.2,moderate,"19,2",moderate,,,,,"9,7",mild,"9,1",mild,,,,,2.5,1,1,1,1,2,2,85,75,,
"DeMartinis,2007",13,https://drive.google.com/open?id=0B935j1BXn-wyMDJZUlRXcUYwMU0 ,Spain,good,480,118,120,116,116,286,both,74,80,71,61,9,4,2,3,0,,,40.4,12.1,40,12.8,40.7,12.8,39,12.6,1,23.2,moderate,23.1,moderate,22.9,moderate,23,moderate,12.6,mild,16,mild,13.3,mild,12.3,mild,2,,,,,1,2,6,0,6,6
"Ehde et al, 2007",14,https://drive.google.com/file/d/0B9ul69Yl4HIcOXFHSk9xN1BpTkU/view ,USA,good,42,22,20,,,22,both,,,,,6,5,1,,,45,10.1,,,,,,,,,1,17.2,moderate,19,moderate,,,,,6.4,absence,10.9,mild,,,,,3,2,2,,,1,2,4,0,,
"Feiger, 2006",15,https://drive.google.com/file/d/0B4TReYGK49h_V0Q0NXhvdGdxems/view,USA,bad,265,132,133,,,150,both,80,70,,,59,32,27,,,42,,42,,42,,,,,,1,28.3,severe,28.6,severe,,,,,17.2,moderate,19.8,moderate,,,,,2,2,2,2,,2,2,5,0,,
